PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchCall,Balls,Strikes,PitchUID,SessionId
21,2024-10-17,14:26:23,"Madison, Bryce",1000361960,Left,NA,NA,Slider,Live,NA,75.40147,-0.7730521008,1.593952924,1840.264332,148.338483,11:00:00,5.6621,-1.49607,4.77878,-43.61203,7.45807,-4.62584,1.29476,-0.37046,69.41788,-8.751127655,0.7407767918,0.5143452674,2.83939,4.08024,1.34084,50,5.54776,-2.89649,-109.53354,-2.90677,3.45078,19.28029,-27.21523,c8ad380b-ae54-4c46-8214-3f260259abb5,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,73.28237,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.9978612,-53.42623505,1096.534774,0.5958572121,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2024-10-17,14:27:01,"Madison, Bryce",1000361960,Left,NA,NA,Slider,Live,NA,71.15332,1.071011728,3.762425984,1899.59683,1.070887964,06:00:00,5.65405,-1.38276,4.66621,-60.92505,-2.92652,-0.05391,1.59646,2.1912,65.53122,-10.04009533,3.752524202,0.5481253784,1.10952,-1.82062,0.99926,50,5.70978,-6.77969,-103.12112,0.02959,1.19095,17.65542,-34.12828,192c3adb-6fa5-4076-a1de-5554acdeb574,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,68.76609,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.24277226,354.5558893,0.1866479685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2024-10-17,14:27:53,"Madison, Bryce",1000361960,Left,NA,NA,Slider,Live,NA,68.73309,5.19174831,-0.4002299875,NA,NA,NA,5.90106,-1.38584,4.50276,-63.54701,0.70306,-1.47943,5.56477,-1.89039,60.96825,-6.606579677,-0.6759111332,0.576910183,0.62062,-1.51932,1.42906,50,6.38843,0.73738,-99.18708,7.1005,0.60072,20.05921,-33.64465,f9117b94-1d2b-418f-9670-e6788b02f78c,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,65.33502,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2024-10-17,14:28:23,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,79.3438,-0.3937154308,0.4226576486,1973.349533,140.8964385,10:45:00,6.04792,-1.04653,5.08927,-29.43595,17.02287,-13.86684,3.22389,-1.8038,71.16946,-5.89107402,-2.177835492,0.4905750588,7.45313,9.10671,1.01711,50,5.98849,-0.40082,-115.16375,-1.74396,9.79279,25.70322,-20.2086,be37dd27-b62f-4422-a977-e5479c7be904,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,76.83317,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.51934254,1971.44217,0.9990334391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2024-10-17,14:29:00,"Madison, Bryce",1000361960,Left,NA,NA,Slider,Live,NA,74.20526,0.4429992337,1.695979919,1842.745981,133.3031124,10:30:00,5.9218,-1.23549,5.04398,-45.18566,7.55227,-8.06532,2.57434,-0.30758,67.45773,-7.930376957,0.1927335032,0.5226764554,4.75848,3.82595,1.08022,50,5.92901,-2.94226,-107.74295,-0.55548,5.53181,20.64792,-27.72632,6a853397-291c-4549-8c17-3cda0d98bae9,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,72.11429,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.4127556,-46.40848027,1270.596116,0.6895123525,12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2024-10-17,14:29:24,"Madison, Bryce",1000361960,Left,NA,NA,Curveball,Live,NA,64.47302,5.733506334,0.4414520788,1861.108495,323.9783167,04:45:00,5.83217,-1.26572,4.75617,-83.58903,-12.21803,8.80167,4.32112,-0.11367,58.55564,-9.664039396,2.074344339,0.6080401607,-4.43565,-8.15365,1.21401,50,6.33785,-0.96096,-93.12824,7.03902,-3.8477,15.58644,-39.24693,01fba2d6-b446-4792-b2f7-c5850754c8f8,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,61.99005,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357.6868728,-35.52248845,1514.732998,0.8138875312,06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2024-10-17,14:29:53,"Madison, Bryce",1000361960,Left,NA,NA,Curveball,Live,NA,66.2589,2.117087531,1.178337321,1796.814498,330.1816751,05:00:00,5.66092,-1.1102,4.6609,-75.91936,-9.03215,5.14444,1.34652,0.43788,61.1935,-11.73185738,2.12790737,0.5886307587,-2.31177,-5.29725,0.9856,50,5.81011,-2.12701,-96.14033,1.34823,-2.15038,15.76177,-37.10147,561bc3a0-4957-4afd-9cbf-6dcc45404796,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,64.0341,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.165526,-39.20068585,1392.417898,0.774936923,05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2024-10-17,14:30:11,"Madison, Bryce",1000361960,Left,NA,NA,Curveball,Live,NA,66.39695,4.407740233,-0.3435755841,1804.365578,327.0817128,05:00:00,5.74579,-1.18152,4.39115,-81.01759,-12.76175,8.19825,3.21007,-0.82629,60.23253,-10.44338641,1.172031059,0.5946224603,-4.32444,-8.00236,1.21041,50,6.14017,0.33123,-96.00363,4.98442,-3.96764,17.20916,-39.51614,da76d73c-490c-43f5-9431-6a7b5e99d84d,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,63.38886,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.6991716,-37.81547547,1425.42975,0.7899894387,05:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2024-10-17,14:30:30,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,79.34248,-0.5911160848,1.067460574,1995.37446,157.557514,11:15:00,5.94817,-0.91117,5.05909,-26.2389,20.33839,-8.41692,3.20413,-0.60598,70.97975,-5.496891829,-0.5115385994,0.4912001742,4.80081,10.91524,0.81624,50,5.87202,-1.87184,-115.12509,-2.03988,6.29671,25.89938,-17.8577,1c4ed352-058c-4f00-8d14-a11846b3c0c3,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,76.73539,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.7742079,0.3693722832,1995.332996,0.9999792197,11:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2024-10-17,14:30:48,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,81.22728,-0.8122101077,0.2902521511,2113.128618,155.2077646,11:15:00,5.93152,-0.95722,5.12609,-22.15205,22.1679,-10.2552,3.32059,-1.53849,72.63955,-4.959003395,-1.635698427,0.4791495014,5.51401,11.98301,0.93766,50,5.83883,-0.25968,-117.88734,-2.40035,7.58245,27.18121,-15.69593,1f0a3141-f5f8-47b3-90c2-8931577a8105,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,78.6653,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3937489615,2113.078719,0.9999763864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
